id,Type_fraude,cluster,Date_systeme
6708662022-10-28 15:28:20.876,Faux mca,0,2024-06-27 21:58:19.610560
6712162022-11-10 14:57:56.798,Faux mca,0,2024-06-27 21:58:19.610560
6713222022-11-15 09:18:01.524,Faux mca,0,2024-06-27 21:58:19.610560
6714672022-11-17 14:10:04.580,Faux mca,0,2024-06-27 21:58:19.610560
6715182022-11-18 17:47:45.967,Faux mca,0,2024-06-27 21:58:19.610560
6715422022-11-22 09:38:24.194,Faux mca,0,2024-06-27 21:58:19.610560
6715472022-11-21 17:13:28.262,Faux mca,0,2024-06-27 21:58:19.610560
6716032022-11-23 14:23:08.124,Faux mca,0,2024-06-27 21:58:19.610560
6716102022-11-23 14:50:38.006,Faux mca,0,2024-06-27 21:58:19.610560
6716142022-11-23 15:08:45.429,Faux mca,0,2024-06-27 21:58:19.610560
6716152022-11-23 15:36:06.957,Faux mca,0,2024-06-27 21:58:19.610560
6716192022-11-23 15:47:43.065,Faux mca,0,2024-06-27 21:58:19.610560
6716222022-11-23 16:03:40.040,Faux mca,0,2024-06-27 21:58:19.610560
6716632022-11-25 09:05:55.213,Faux mca,0,2024-06-27 21:58:19.610560
6716672022-11-25 10:53:28.157,Faux mca,0,2024-06-27 21:58:19.610560
6717342022-11-29 10:03:20.979,Faux mca,0,2024-06-27 21:58:19.610560
6717522022-11-29 13:29:08.988,Faux mca,0,2024-06-27 21:58:19.610560
6717532022-11-29 13:36:09.662,Faux mca,0,2024-06-27 21:58:19.610560
6717572022-11-29 14:55:23.492,Faux mca,0,2024-06-27 21:58:19.610560
6717582022-11-29 14:31:42.837,Faux mca,0,2024-06-27 21:58:19.610560
6717732022-11-29 16:34:52.940,Faux mca,0,2024-06-27 21:58:19.610560
6717762022-11-29 16:32:44.746,Faux mca,0,2024-06-27 21:58:19.610560
6718122022-11-30 11:14:07.460,Faux mca,0,2024-06-27 21:58:19.610560
6718312022-11-30 14:08:32.001,Faux mca,0,2024-06-27 21:58:19.610560
6718322022-11-30 14:07:10.719,Faux mca,0,2024-06-27 21:58:19.610560
6718342022-11-30 14:52:03.539,Faux mca,0,2024-06-27 21:58:19.610560
6718372022-11-30 15:03:07.924,Faux mca,0,2024-06-27 21:58:19.610560
6718392022-11-30 15:18:30.503,Faux mca,0,2024-06-27 21:58:19.610560
6718422022-11-30 15:32:05.489,Faux mca,0,2024-06-27 21:58:19.610560
6718572022-11-30 18:18:43.834,Faux mca,0,2024-06-27 21:58:19.610560
6718742022-12-01 12:54:25.973,Faux mca,0,2024-06-27 21:58:19.610560
6719392022-12-02 16:15:14.088,Faux mca,0,2024-06-27 21:58:19.610560
6719452022-12-02 17:12:07.507,Faux mca,0,2024-06-27 21:58:19.610560
6719492022-12-02 18:29:49.927,Faux mca,0,2024-06-27 21:58:19.610560
6719712022-12-05 10:13:17.037,Faux mca,0,2024-06-27 21:58:19.610560
6719752022-12-05 10:23:10.882,Faux mca,0,2024-06-27 21:58:19.610560
6719962022-12-05 14:14:07.695,Faux mca,0,2024-06-27 21:58:19.610560
