id,Type_fraude,cluster,Date_systeme
6783632023-04-05 09:03:23.813,Contrat sans echeancier,1,2024-06-27 21:25:52.661329
6848402023-07-19 12:51:05.690,Contrat sans echeancier,0,2024-06-27 21:25:52.661329
6929652023-10-31 11:50:45.289,Contrat sans echeancier,0,2024-06-27 21:25:52.661329
6929672023-10-31 11:54:42.251,Contrat sans echeancier,0,2024-06-27 21:25:52.661329
6929682023-10-31 11:55:17.974,Contrat sans echeancier,0,2024-06-27 21:25:52.661329
6929692023-10-31 11:56:10.562,Contrat sans echeancier,0,2024-06-27 21:25:52.661329
6970842023-11-30 09:51:28.856,Contrat sans echeancier,0,2024-06-27 21:25:52.661329
7251732024-01-19 09:11:41.531,Contrat sans echeancier,2,2024-06-27 21:25:52.661329
6701112022-10-05 12:14:58.795,Contrat sans echeancier,1,2024-06-27 21:25:52.661329
6701112022-10-05 12:15:06.230,Contrat sans echeancier,1,2024-06-27 21:25:52.661329
6705242022-10-17 14:44:03.828,Contrat sans echeancier,1,2024-06-27 21:25:52.661329
6705242022-10-17 14:44:11.066,Contrat sans echeancier,1,2024-06-27 21:25:52.661329
6976822023-12-05 09:41:01.590,Contrat sans echeancier,0,2024-06-27 21:25:52.661329
6976822023-12-05 09:47:08.160,Contrat sans echeancier,0,2024-06-27 21:25:52.661329
6976972023-12-05 09:57:39.180,Contrat sans echeancier,0,2024-06-27 21:25:52.661329
6976972023-12-05 10:00:18.695,Contrat sans echeancier,0,2024-06-27 21:25:52.661329
6703232022-10-11 17:07:54.411,Contrat sans echeancier,1,2024-06-27 21:25:52.661329
6703232022-10-11 17:08:01.729,Contrat sans echeancier,1,2024-06-27 21:25:52.661329
6703452022-10-12 15:24:10.688,Contrat sans echeancier,1,2024-06-27 21:25:52.661329
6703452022-10-12 15:24:19.024,Contrat sans echeancier,1,2024-06-27 21:25:52.661329
6703942022-10-13 17:51:18.660,Contrat sans echeancier,1,2024-06-27 21:25:52.661329
6703942022-10-13 17:51:25.991,Contrat sans echeancier,1,2024-06-27 21:25:52.661329
6704552022-10-14 16:27:55.939,Contrat sans echeancier,1,2024-06-27 21:25:52.661329
6704552022-10-14 16:28:03.428,Contrat sans echeancier,1,2024-06-27 21:25:52.661329
6706252022-10-19 14:08:33.678,Contrat sans echeancier,1,2024-06-27 21:25:52.661329
6706252022-10-19 14:08:41.042,Contrat sans echeancier,1,2024-06-27 21:25:52.661329
6706812022-10-20 16:04:36.567,Contrat sans echeancier,1,2024-06-27 21:25:52.661329
6706812022-10-20 16:04:43.957,Contrat sans echeancier,1,2024-06-27 21:25:52.661329
6926932023-10-29 22:16:31.660,Contrat sans echeancier,0,2024-06-27 21:25:52.661329
6926932023-10-29 22:18:32.856,Contrat sans echeancier,0,2024-06-27 21:25:52.661329
