id,Type_fraude,cluster,Date_systeme
6753252023-02-22 10:20:39.560,fake tags,2,2024-06-28 10:10:26.224733
6773972023-03-21 09:10:40.781,fake tags,2,2024-06-28 10:10:26.224733
6778892023-03-28 08:09:42.249,fake tags,2,2024-06-28 10:10:26.224733
6779152023-03-28 10:51:08.203,fake tags,2,2024-06-28 10:10:26.224733
6779262023-03-28 12:23:14.991,fake tags,2,2024-06-28 10:10:26.224733
6779462023-03-28 14:24:35.835,fake tags,2,2024-06-28 10:10:26.224733
6779862023-03-29 09:52:31.298,fake tags,2,2024-06-28 10:10:26.224733
6779952023-03-29 10:08:42.096,fake tags,2,2024-06-28 10:10:26.224733
6780192023-03-29 11:13:03.957,fake tags,2,2024-06-28 10:10:26.224733
6780422023-03-29 13:13:53.371,fake tags,2,2024-06-28 10:10:26.224733
6780502023-03-29 14:12:06.938,fake tags,2,2024-06-28 10:10:26.224733
6780872023-03-30 10:09:49.628,fake tags,2,2024-06-28 10:10:26.224733
6780922023-03-30 10:34:52.208,fake tags,2,2024-06-28 10:10:26.224733
6781022023-03-30 13:05:21.044,fake tags,2,2024-06-28 10:10:26.224733
6781152023-03-30 13:59:58.400,fake tags,2,2024-06-28 10:10:26.224733
6781182023-03-30 14:11:47.086,fake tags,2,2024-06-28 10:10:26.224733
6782022023-03-31 12:59:07.241,fake tags,2,2024-06-28 10:10:26.224733
6782102023-03-31 13:47:21.455,fake tags,2,2024-06-28 10:10:26.224733
6782162023-03-31 14:14:03.830,fake tags,2,2024-06-28 10:10:26.224733
6782462023-04-03 08:08:24.469,fake tags,2,2024-06-28 10:10:26.224733
6782552023-04-03 10:02:10.060,fake tags,2,2024-06-28 10:10:26.224733
6782852023-04-03 14:13:44.900,fake tags,2,2024-06-28 10:10:26.224733
6783292023-04-04 13:10:52.455,fake tags,2,2024-06-28 10:10:26.224733
6783382023-04-04 14:49:18.810,fake tags,2,2024-06-28 10:10:26.224733
6783742023-04-05 09:32:29.549,fake tags,2,2024-06-28 10:10:26.224733
6783972023-04-05 13:31:20.633,fake tags,2,2024-06-28 10:10:26.224733
6783992023-04-05 13:40:13.727,fake tags,2,2024-06-28 10:10:26.224733
6784012023-04-05 14:37:29.918,fake tags,2,2024-06-28 10:10:26.224733
6784412023-04-06 11:41:02.963,fake tags,2,2024-06-28 10:10:26.224733
6784552023-04-06 14:12:55.676,fake tags,2,2024-06-28 10:10:26.224733
6784562023-04-06 14:15:05.984,fake tags,2,2024-06-28 10:10:26.224733
6784692023-04-07 08:37:41.632,fake tags,2,2024-06-28 10:10:26.224733
6784982023-04-07 10:54:43.774,fake tags,2,2024-06-28 10:10:26.224733
6785052023-04-07 11:30:13.819,fake tags,2,2024-06-28 10:10:26.224733
6785132023-04-07 13:00:41.452,fake tags,2,2024-06-28 10:10:26.224733
6785242023-04-07 14:53:46.219,fake tags,2,2024-06-28 10:10:26.224733
6785492023-04-11 07:35:25.163,fake tags,2,2024-06-28 10:10:26.224733
6785532023-04-11 08:49:58.630,fake tags,2,2024-06-28 10:10:26.224733
6785762023-04-11 12:17:56.249,fake tags,2,2024-06-28 10:10:26.224733
6785782023-04-11 12:34:16.772,fake tags,2,2024-06-28 10:10:26.224733
6785802023-04-11 12:41:21.660,fake tags,2,2024-06-28 10:10:26.224733
6785872023-04-11 13:27:48.059,fake tags,2,2024-06-28 10:10:26.224733
6785882023-04-11 13:45:46.877,fake tags,2,2024-06-28 10:10:26.224733
6786072023-04-11 16:23:10.154,fake tags,2,2024-06-28 10:10:26.224733
6786422023-04-12 11:29:24.939,fake tags,2,2024-06-28 10:10:26.224733
6786542023-04-12 13:09:06.395,fake tags,2,2024-06-28 10:10:26.224733
6787112023-04-13 10:16:04.112,fake tags,2,2024-06-28 10:10:26.224733
6787822023-04-14 07:32:31.278,fake tags,2,2024-06-28 10:10:26.224733
6787862023-04-14 08:41:46.483,fake tags,2,2024-06-28 10:10:26.224733
6787902023-04-14 08:56:29.426,fake tags,2,2024-06-28 10:10:26.224733
6788032023-04-14 10:03:28.491,fake tags,2,2024-06-28 10:10:26.224733
6788172023-04-14 11:07:19.783,fake tags,2,2024-06-28 10:10:26.224733
6788362023-04-14 12:50:08.883,fake tags,2,2024-06-28 10:10:26.224733
6788552023-04-14 13:52:25.290,fake tags,2,2024-06-28 10:10:26.224733
6789022023-04-17 08:22:39.371,fake tags,2,2024-06-28 10:10:26.224733
6789032023-04-17 08:33:49.328,fake tags,2,2024-06-28 10:10:26.224733
6789192023-04-17 10:22:50.365,fake tags,2,2024-06-28 10:10:26.224733
6789602023-04-17 13:05:07.724,fake tags,2,2024-06-28 10:10:26.224733
6790232023-04-18 09:42:22.847,fake tags,2,2024-06-28 10:10:26.224733
6790532023-04-18 12:17:16.788,fake tags,2,2024-06-28 10:10:26.224733
6790582023-04-18 12:49:44.612,fake tags,2,2024-06-28 10:10:26.224733
6791342023-04-19 13:17:48.368,fake tags,2,2024-06-28 10:10:26.224733
6791602023-04-20 08:19:32.037,fake tags,2,2024-06-28 10:10:26.224733
6791672023-04-20 08:32:52.329,fake tags,2,2024-06-28 10:10:26.224733
6791692023-04-20 09:01:24.046,fake tags,2,2024-06-28 10:10:26.224733
6791992023-04-20 12:08:54.169,fake tags,2,2024-06-28 10:10:26.224733
6792102023-04-20 14:35:22.544,fake tags,2,2024-06-28 10:10:26.224733
6792762023-04-24 07:46:12.918,fake tags,2,2024-06-28 10:10:26.224733
6793032023-04-24 12:15:27.005,fake tags,2,2024-06-28 10:10:26.224733
6793172023-04-24 14:29:25.742,fake tags,2,2024-06-28 10:10:26.224733
6793262023-04-24 14:47:34.997,fake tags,2,2024-06-28 10:10:26.224733
6793482023-04-24 16:22:56.791,fake tags,2,2024-06-28 10:10:26.224733
6794332023-04-25 14:50:16.074,fake tags,2,2024-06-28 10:10:26.224733
6794822023-04-26 11:02:07.108,fake tags,2,2024-06-28 10:10:26.224733
6794832023-04-26 11:04:45.780,fake tags,2,2024-06-28 10:10:26.224733
6795082023-04-26 12:11:30.659,fake tags,2,2024-06-28 10:10:26.224733
6795162023-04-26 12:58:01.163,fake tags,2,2024-06-28 10:10:26.224733
6795242023-04-26 13:32:28.673,fake tags,2,2024-06-28 10:10:26.224733
6795452023-04-27 06:58:51.498,fake tags,2,2024-06-28 10:10:26.224733
6795602023-04-27 09:59:41.348,fake tags,2,2024-06-28 10:10:26.224733
6795762023-04-27 13:50:26.468,fake tags,2,2024-06-28 10:10:26.224733
6795772023-04-27 14:01:06.787,fake tags,2,2024-06-28 10:10:26.224733
6795902023-04-27 15:50:27.768,fake tags,2,2024-06-28 10:10:26.224733
6795922023-04-27 16:02:06.240,fake tags,2,2024-06-28 10:10:26.224733
6796332023-04-28 09:39:29.252,fake tags,2,2024-06-28 10:10:26.224733
6796562023-04-28 10:45:01.053,fake tags,2,2024-06-28 10:10:26.224733
6796712023-04-28 13:05:55.918,fake tags,2,2024-06-28 10:10:26.224733
6796792023-04-28 13:58:47.371,fake tags,2,2024-06-28 10:10:26.224733
6796812023-04-28 13:59:38.194,fake tags,2,2024-06-28 10:10:26.224733
6797262023-04-28 16:47:03.029,fake tags,2,2024-06-28 10:10:26.224733
6797422023-05-02 08:42:08.056,fake tags,2,2024-06-28 10:10:26.224733
6797512023-05-02 09:20:33.027,fake tags,2,2024-06-28 10:10:26.224733
6797862023-05-02 11:53:11.060,fake tags,2,2024-06-28 10:10:26.224733
6798352023-05-03 08:09:46.209,fake tags,2,2024-06-28 10:10:26.224733
6798402023-05-03 09:00:56.972,fake tags,2,2024-06-28 10:10:26.224733
6798432023-05-03 09:14:14.607,fake tags,2,2024-06-28 10:10:26.224733
6798662023-05-03 11:06:06.501,fake tags,2,2024-06-28 10:10:26.224733
6799172023-05-04 08:05:17.466,fake tags,2,2024-06-28 10:10:26.224733
6799272023-05-04 09:20:27.099,fake tags,2,2024-06-28 10:10:26.224733
6799522023-05-04 11:44:30.405,fake tags,2,2024-06-28 10:10:26.224733
6799702023-05-04 14:10:18.281,fake tags,2,2024-06-28 10:10:26.224733
6799772023-05-04 14:41:40.783,fake tags,2,2024-06-28 10:10:26.224733
6801102023-05-09 08:06:44.264,fake tags,2,2024-06-28 10:10:26.224733
6801272023-05-09 09:26:23.691,fake tags,2,2024-06-28 10:10:26.224733
6801332023-05-09 09:35:20.816,fake tags,2,2024-06-28 10:10:26.224733
6801452023-05-09 10:33:15.869,fake tags,2,2024-06-28 10:10:26.224733
6801892023-05-09 14:43:06.931,fake tags,2,2024-06-28 10:10:26.224733
6801972023-05-09 15:55:08.462,fake tags,2,2024-06-28 10:10:26.224733
6802912023-05-10 16:22:19.607,fake tags,2,2024-06-28 10:10:26.224733
6802932023-05-10 16:53:26.879,fake tags,2,2024-06-28 10:10:26.224733
6802962023-05-11 07:34:55.567,fake tags,2,2024-06-28 10:10:26.224733
