id,Type_fraude,cluster,Date_systeme
6704482022-10-14 15:28:54.293,Faux code postal,2,2024-06-27 21:46:07.662444
6712392022-11-12 12:07:55.252,Faux code postal,2,2024-06-27 21:46:07.662444
6712392022-11-12 12:08:02.926,Faux code postal,2,2024-06-27 21:46:07.662444
6712392022-11-12 12:08:10.354,Faux code postal,2,2024-06-27 21:46:07.662444
6713612022-11-15 16:13:47.715,Faux code postal,2,2024-06-27 21:46:07.662444
6713612022-11-15 16:13:55.304,Faux code postal,2,2024-06-27 21:46:07.662444
6713612022-11-15 16:14:02.856,Faux code postal,2,2024-06-27 21:46:07.662444
6719752022-12-05 10:23:10.882,Faux code postal,2,2024-06-27 21:46:07.662444
6719752022-12-05 10:23:19.091,Faux code postal,2,2024-06-27 21:46:07.662444
6719752022-12-05 10:23:27.212,Faux code postal,2,2024-06-27 21:46:07.662444
6735952023-01-30 10:37:36.480,Faux code postal,2,2024-06-27 21:46:07.662444
6735952023-01-30 10:37:44.634,Faux code postal,2,2024-06-27 21:46:07.662444
6735952023-01-30 10:37:52.782,Faux code postal,2,2024-06-27 21:46:07.662444
6740152023-02-07 16:48:00.589,Faux code postal,2,2024-06-27 21:46:07.662444
6740152023-02-07 16:48:07.956,Faux code postal,2,2024-06-27 21:46:07.662444
6740152023-02-07 16:48:15.192,Faux code postal,2,2024-06-27 21:46:07.662444
6744302023-02-13 16:40:41.241,Faux code postal,2,2024-06-27 21:46:07.662444
6745392023-02-14 12:31:52.917,Faux code postal,2,2024-06-27 21:46:07.662444
6745902023-02-14 16:49:52.323,Faux code postal,2,2024-06-27 21:46:07.662444
6745902023-02-14 16:50:00.496,Faux code postal,2,2024-06-27 21:46:07.662444
6745902023-02-14 16:50:08.547,Faux code postal,2,2024-06-27 21:46:07.662444
6748442023-02-16 15:42:35.075,Faux code postal,2,2024-06-27 21:46:07.662444
6750792023-02-20 11:01:45.659,Faux code postal,2,2024-06-27 21:46:07.662444
6750862023-02-20 11:39:32.708,Faux code postal,2,2024-06-27 21:46:07.662444
6754782023-02-23 11:32:24.255,Faux code postal,2,2024-06-27 21:46:07.662444
6759682023-03-01 08:41:32.029,Faux code postal,2,2024-06-27 21:46:07.662444
6759682023-03-01 08:41:40.088,Faux code postal,2,2024-06-27 21:46:07.662444
6759682023-03-01 08:41:47.834,Faux code postal,2,2024-06-27 21:46:07.662444
6762722023-03-03 16:02:59.628,Faux code postal,2,2024-06-27 21:46:07.662444
6764622023-03-06 17:39:16.921,Faux code postal,2,2024-06-27 21:46:07.662444
6766272023-03-08 10:33:06.033,Faux code postal,2,2024-06-27 21:46:07.662444
6767452023-03-09 14:04:48.295,Faux code postal,2,2024-06-27 21:46:07.662444
6771652023-03-16 09:45:37.028,Faux code postal,2,2024-06-27 21:46:07.662444
6772642023-03-17 09:58:45.560,Faux code postal,2,2024-06-27 21:46:07.662444
6772642023-03-17 09:58:54.262,Faux code postal,2,2024-06-27 21:46:07.662444
6774432023-03-21 14:16:50.019,Faux code postal,2,2024-06-27 21:46:07.662444
6776912023-03-23 15:01:02.347,Faux code postal,2,2024-06-27 21:46:07.662444
6777852023-03-24 13:47:43.700,Faux code postal,2,2024-06-27 21:46:07.662444
6780462023-03-29 13:44:24.718,Faux code postal,2,2024-06-27 21:46:07.662444
6780912023-03-30 10:38:16.371,Faux code postal,2,2024-06-27 21:46:07.662444
6780912023-03-30 10:38:23.856,Faux code postal,2,2024-06-27 21:46:07.662444
6780912023-03-30 10:38:30.663,Faux code postal,2,2024-06-27 21:46:07.662444
6784402023-04-06 11:39:47.123,Faux code postal,2,2024-06-27 21:46:07.662444
6784402023-04-06 11:39:54.723,Faux code postal,2,2024-06-27 21:46:07.662444
6784402023-04-06 11:40:01.796,Faux code postal,2,2024-06-27 21:46:07.662444
6784412023-04-06 11:41:02.963,Faux code postal,2,2024-06-27 21:46:07.662444
6784412023-04-06 11:41:10.678,Faux code postal,2,2024-06-27 21:46:07.662444
6784412023-04-06 11:41:17.937,Faux code postal,2,2024-06-27 21:46:07.662444
6786532023-04-12 13:08:16.029,Faux code postal,2,2024-06-27 21:46:07.662444
6786532023-04-12 13:08:24.086,Faux code postal,2,2024-06-27 21:46:07.662444
6786532023-04-12 13:08:31.542,Faux code postal,2,2024-06-27 21:46:07.662444
6786542023-04-12 13:09:06.395,Faux code postal,2,2024-06-27 21:46:07.662444
6786542023-04-12 13:09:14.197,Faux code postal,2,2024-06-27 21:46:07.662444
6786542023-04-12 13:09:21.739,Faux code postal,2,2024-06-27 21:46:07.662444
6787112023-04-13 10:16:04.112,Faux code postal,2,2024-06-27 21:46:07.662444
6787112023-04-13 10:16:11.607,Faux code postal,2,2024-06-27 21:46:07.662444
6792152023-04-20 15:16:19.727,Faux code postal,2,2024-06-27 21:46:07.662444
6792722023-04-21 16:43:19.290,Faux code postal,2,2024-06-27 21:46:07.662444
6792812023-04-24 08:52:59.842,Faux code postal,2,2024-06-27 21:46:07.662444
6793562023-04-24 17:34:17.160,Faux code postal,2,2024-06-27 21:46:07.662444
6796772023-04-28 13:56:27.131,Faux code postal,2,2024-06-27 21:46:07.662444
6796772023-04-28 13:56:34.967,Faux code postal,2,2024-06-27 21:46:07.662444
6796772023-04-28 13:56:42.263,Faux code postal,2,2024-06-27 21:46:07.662444
6797232023-04-28 16:30:57.761,Faux code postal,2,2024-06-27 21:46:07.662444
6798732023-05-03 13:00:42.271,Faux code postal,2,2024-06-27 21:46:07.662444
6800212023-05-05 10:45:07.055,Faux code postal,2,2024-06-27 21:46:07.662444
6800212023-05-05 10:45:15.201,Faux code postal,2,2024-06-27 21:46:07.662444
6800212023-05-05 10:45:22.911,Faux code postal,2,2024-06-27 21:46:07.662444
6803472023-05-11 14:21:52.960,Faux code postal,2,2024-06-27 21:46:07.662444
6803472023-05-11 14:22:02.126,Faux code postal,2,2024-06-27 21:46:07.662444
6803472023-05-11 14:22:10.488,Faux code postal,2,2024-06-27 21:46:07.662444
6805032023-05-15 12:32:18.411,Faux code postal,2,2024-06-27 21:46:07.662444
6805032023-05-15 12:32:27.620,Faux code postal,2,2024-06-27 21:46:07.662444
6805032023-05-15 12:32:36.746,Faux code postal,2,2024-06-27 21:46:07.662444
6805252023-05-15 16:08:12.888,Faux code postal,2,2024-06-27 21:46:07.662444
6805662023-05-16 10:07:50.569,Faux code postal,2,2024-06-27 21:46:07.662444
6807772023-05-18 15:15:21.707,Faux code postal,2,2024-06-27 21:46:07.662444
6807772023-05-18 15:15:30.006,Faux code postal,2,2024-06-27 21:46:07.662444
6807772023-05-18 15:15:37.860,Faux code postal,2,2024-06-27 21:46:07.662444
6810372023-05-23 10:54:09.622,Faux code postal,2,2024-06-27 21:46:07.662444
6812582023-05-24 14:37:41.720,Faux code postal,2,2024-06-27 21:46:07.662444
6819082023-05-31 13:01:25.528,Faux code postal,2,2024-06-27 21:46:07.662444
6819082023-05-31 13:01:30.910,Faux code postal,2,2024-06-27 21:46:07.662444
6819822023-05-31 14:58:43.999,Faux code postal,2,2024-06-27 21:46:07.662444
6822862023-06-05 09:40:50.889,Faux code postal,2,2024-06-27 21:46:07.662444
